t,CPI,GDP,k,l
1,100,3624.1,1377.9,40152
2,101.9,3962.9,1446.7,41024
3,109.54,4124.2,1451.5,42361
4,112.28,4330.6,1408.1,43725
5,114.53,4623.1,1536.9,45295
6,116.82,5080.2,1716.4,46436
7,119.97,5977.3,2057.7,48197
8,131.13,6836.3,2582.2,49873
9,139.65,7305.4,2754,51282
10,149.85,7983.2,2884.3,52783
11,178.02,8385.9,3086.8,54334
12,210.06,8049.7,2901.5,55329
13,216.57,8564.3,2975.4,64749
14,223.94,9653.5,3356.8,65491
15,238.27,11179.9,4044.2,66152
16,273.29,12673,5487.9,66808
17,339.16,13786.9,5679,67455
18,397.15,14724.3,6012,68065
19,430.12,15782.8,6246.5,68950
20,442.16,16840.6,6436,69820
21,438.62,17861.6,6736.1,70637
22,432.48,18975.9,7098.9,71394
23,434.21,20604.7,7510.5,72085
24,437.25,22256,8567.3,73025
25,433.75,24247,9764.9,73740
